latitud,provincia,altitud,indicativo,nombre,longitud
413515N,BARCELONA,74,0252D,ARENYS DE MAR,023224E
411734N,BARCELONA,4,0076,BARCELONA AEROPUERTO,020412E
412506N,BARCELONA,408,0200E,"BARCELONA, FABRA",020727E
412326N,BARCELONA,6,0201D,BARCELONA,021200E
414312N,BARCELONA,291,0149X,MANRESA,015025E
413125N,BARCELONA,146,0229I,SABADELL AEROPUERTO,020611E
413903N,BARCELONA,40,0255B,SANTA SUSANNA,024149E
415442N,GIRONA,143,0367,GIRONA AEROPUERTO,024548E
415848N,GIRONA,95,0370B,"GIRONA, ANTIC INSTITUT",024931E
420616N,GIRONA,157,0372C,PORQUERES,024549E
421129N,GIRONA,675,0324A,RIPOLL,021146E
410842N,TARRAGONA,71,0016A,REUS AEROPUERTO,010949E
405729N,TARRAGONA,32,0002I,VANDELLÒS  ,005217E
431825N,A CORUÑA,98,1387E,A CORUÑA AEROPUERTO,082219W
432157N,A CORUÑA,58,1387,A CORUÑA,082517W
430938N,A CORUÑA,50,1393,CABO VILAN,091239W
434710N,A CORUÑA,80,1351,ESTACA DE BARES,074105W
425529N,A CORUÑA,230,1400,FISTERRA,091729W
424314N,A CORUÑA,685,1437O,MONTE IROITE,085524W
424418N,A CORUÑA,100,1473A,PADRÓN,083738W
425317N,A CORUÑA,370,1428,SANTIAGO DE COMPOSTELA AEROPUERTO,082438W
425234N,A CORUÑA,240,1475X,SANTIAGO DE COMPOSTELA,083321W
433401N,ASTURIAS,127,1212E,ASTURIAS AEROPUERTO,060239W
433409N,ASTURIAS,60,1283U,CABO BUSTO,062812W
433921N,ASTURIAS,100,1210X,CABO PEÑAS,055055W
433129N,ASTURIAS,40,1331A,CASTROPOL,070153W
433123N,ASTURIAS,26,1207U,"GIJÓN, CAMPUS",053716W
433230N,ASTURIAS,22,1208A,GIJÓN. LA MERCED,053943W
433336N,ASTURIAS,5,1208H,"GIJÓN, PUERTO",054203W
433220N,ASTURIAS,3,1208,GIJÓN,053815W
432513N,ASTURIAS,10,1183X,LLANES,044453W
432112N,ASTURIAS,336,1249X,OVIEDO,055227W
425843N,ASTURIAS,1480,1221D,PAJARES-VALGRANDE,054635W
425939N,ASTURIAS,1530,1542,PUERTO DE LEITARIEGOS,062451W
431753N,BIZKAIA,42,1082,BILBAO AEROPUERTO,025423W
431212N,BIZKAIA,208,1078I,GÜEÑES,030617W
432237N,BIZKAIA,12,1055B,LEKEITIO,023037W
432714N,BIZKAIA,93,1057B,MACHICHACO,024510W
432230N,BIZKAIA,90,1059X,PUNTA GALEA,030118W
432341N,CANTABRIA,45,1083L,CASTRO URDIALES,031402W
432336N,CANTABRIA,38,1159,SAN VICENTE DE LA BARQUERA,042332W
432526N,CANTABRIA,3,1109,SANTANDER AEROPUERTO,034932W
432754N,CANTABRIA,64,1110,"SANTANDER, CIUDAD",034908W
432928N,CANTABRIA,52,1111,SANTANDER,034802W
431823N,GIPUZKOA,251,1024E,"DONOSTIA/SAN SEBASTIÁN, IGUELDO",020228W
431234N,GIPUZKOA,119,1050J,ELGOIBAR,022448W
432125N,GIPUZKOA,4,1014,"HONDARRIBIA, MALKARROA",014732W
431808N,GIPUZKOA,28,1041A,ZUMAIA,021504W
430448N,GIPUZKOA,420,1037Y,ZUMARRAGA,021903W
423350N,LEON,534,1549,PONFERRADA,063600W
430641N,LUGO,445,1505,LUGO AEROPUERTO,072727W
430809N,NAVARRA,183,1002Y,"BAZTAN, IRURITA ",013235W
422022N,OURENSE,840,1631E,A POBRA DE TRIVES,071657W
422517N,OURENSE,400,1700X,"CARBALLIÑO, O",080533W
421956N,OURENSE,148,1690B,"OURENSE,INSTITUTO",075152W
421931N,OURENSE,143,1690A,OURENSE,075135W
420445N,OURENSE,616,1735X,XINZO DE LIMIA,074401W
422550N,PONTEVEDRA,19,1484,"PONTEVEDRA, INSTITUTO",083850W
422618N,PONTEVEDRA,108,1484C,PONTEVEDRA,083657W
421419N,PONTEVEDRA,261,1495,VIGO AEROPUERTO,083726W
403924N,AVILA,1143,2444C,"ÁVILA, AYUNTAMIENTO",044201W
403933N,AVILA,1130,2444,ÁVILA,044048W
402102N,AVILA,1525,2811A,NAVARREDONDA DE GREDOS,050835W
413957N,BURGOS,790,2117D,ARANDA DE DUERO,034434W
422125N,BURGOS,891,2331,BURGOS AEROPUERTO,033713W
415735N,BURGOS,1080,2298,PALACIOS DE LA SIERRA,030754W
422239N,LEON,1020,2737E,LAGUNAS DE SOMOZA,061148W
423558N,LEON,912,2661B,LEÓN AEROPUERTO,053837W
423518N,LEON,912,2661,"LEÓN, VIRGEN DEL CAMINO",053904W
430344N,LEON,1510,2630X,PUERTO DE SAN ISIDRO,052237W
404735N,MADRID,1894,2462,PUERTO DE NAVACERRADA,040038W
415944N,PALENCIA,874,2400E,AUTILLA DEL PINO,043610W
422103N,PALENCIA,830,2374X,CARRIÓN DE LOS CONDES,043702W
425214N,PALENCIA,1140,2235U,CERVERA DE PISUERGA,043112W
420018N,PALENCIA,750,2401,"PALENCIA, OBSERVATORIO",043145W
402118N,SALAMANCA,1960,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",054124W
403806N,SALAMANCA,680,2946X,SAELICES EL CHICO,063600W
405734N,SALAMANCA,790,2867,SALAMANCA AEROPUERTO,052954W
405727N,SALAMANCA,775,2870,SALAMANCA,053944W
410041N,SALAMANCA,769,2916A,VITIGUDINO,062616W
411131N,SEGOVIA,1798,2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",032831W
405648N,SEGOVIA,990,2465A,"SEGOVIA, INSTITUTO",040657W
405643N,SEGOVIA,1005,2465,SEGOVIA,040735W
414630N,SORIA,1082,2030,SORIA,022859W
411933N,VALLADOLID,740,2503X,OLMEDO,044113W
414243N,VALLADOLID,846,2539,VALLADOLID AEROPUERTO,045120W
413827N,VALLADOLID,735,2422,VALLADOLID,044516W
420039N,ZAMORA,715,2755X,BENAVENTE,054000W
415629N,ZAMORA,850,2775X,VILLARDECIERVOS,061647W
413056N,ZAMORA,656,2614,ZAMORA,054407W
401719N,AVILA,630,3391,SOTILLO DE LA ADRADA,043527W
392833N,CACERES,459,3469,"CÁCERES, CIUDAD",062235W
392817N,CACERES,394,3469A,CÁCERES,062020W
400013N,CACERES,313,3526X,CORIA,063327W
395645N,CACERES,269,3434X,NAVALMORAL DE LA MATA,053457W
400235N,CACERES,415,3519X,PLASENCIA,060509W
392857N,CACERES,503,3463X,TRUJILLO,055115W
392453N,CACERES,444,3576X,VALENCIA DE ALCÁNTARA,071352W
403149N,CUENCA,928,3044X,CAÑIZARES,020900W
400041N,CUENCA,808,3094B,TARANCÓN,030117W
403933N,GUADALAJARA,639,3168C,"GUADALAJARA, EL SERRANILLO",031024W
403805N,GUADALAJARA,685,3168A,"GUADALAJARA, INSTITUTO",031000W
403749N,GUADALAJARA,721,3168D,GUADALAJARA,030900W
405030N,GUADALAJARA,1062,3013,MOLINA DE ARAGÓN,015244W
410511N,GUADALAJARA,1005,3130C,SIGÜENZA,023705W
400402N,MADRID,540,3100B,ARANJUEZ,033246W
410025N,MADRID,1030,3110C,BUITRAGO DEL LOZOYA,033649W
404146N,MADRID,1004,3191E,COLMENAR VIEJO,034554W
401758N,MADRID,620,3200,GETAFE,034320W
402800N,MADRID,609,3129,MADRID AEROPUERTO,033320W
402706N,MADRID,664,3194U,"MADRID, CIUDAD UNIVERSITARIA",034327W
402232N,MADRID,690,3196,"MADRID, CUATRO VIENTOS",034710W
402443N,MADRID,667,3195,"MADRID, RETIRO",034041W
404223N,MADRID,1532,3266A,PUERTO ALTO DEL LEÓN,040831W
402540N,MADRID,763,3338,ROBLEDO DE CHAVELA,041500W
410808N,MADRID,1450,3111D,SOMOSIERRA,033449W
402919N,MADRID,607,3175,TORREJÓN DE ARDOZ,032637W
393249N,TOLEDO,917,3298X,SAN PABLO DE LOS MONTES,042102W
395731N,TOLEDO,372,3365A,TALAVERA DE LA REINA,045149W
395134N,TOLEDO,540,3259,"TOLEDO, LORENZANA",040132W
395305N,TOLEDO,515,3260B,TOLEDO,040243W
385300N,BADAJOZ,185,4452,BADAJOZ AEROPUERTO,064850W
385720N,BADAJOZ,273,4358X,DON BENITO,055250W
391010N,BADAJOZ,447,4244X,HERRERA DEL DUQUE,050344W
381755N,BADAJOZ,381,4511C,JEREZ DE LOS CABALLEROS,064554W
381354N,BADAJOZ,655,4386B,LLERENA,060101W
385457N,BADAJOZ,228,4410X,MÉRIDA,062308W
385916N,CIUDAD REAL,627,4121C,"CIUDAD REAL, INSTITUTO",035545W
385921N,CIUDAD REAL,628,4121,CIUDAD REAL,035513W
390519N,CIUDAD REAL,486,4220X,PUEBLA DE DON RODRIGO,043659W
391009N,CIUDAD REAL,662,4103X,TOMELLOSO,030027W
384502N,CIUDAD REAL,700,4147X,VALDEPEÑAS,032329W
383105N,CIUDAD REAL,804,4148,VISO DEL MARQUÉS,033400W
382955N,CORDOBA,551,4267X,HINOJOSA DEL DUQUE,050716W
392500N,CUENCA,728,4090Y,SAN CLEMENTE,022514W
375207N,HUELVA,572,4560Y,ALAJAR,064030W
371141N,HUELVA,2,4549Y,AYAMONTE,072342W
371642N,HUELVA,19,4642E,"HUELVA, RONDA ESTE",065442W
371524N,HUELVA,17,4605,HUELVA,065659W
392931N,TOLEDO,690,4067,MADRIDEJOS,033142W
393551N,TOLEDO,691,4061X,QUINTANAR DE LA ORDEN,030249W
362959N,CADIZ,2,5973,CÁDIZ,061528W
364538N,CADIZ,913,5911A,GRAZALEMA,052227W
364502N,CADIZ,27,5960,JEREZ DE LA FRONTERA AEROPUERTO,060321W
363820N,CADIZ,21,5910,"ROTA, BASE NAVAL",061957W
362756N,CADIZ,28,5972X,SAN FERNANDO,061220W
361444N,CADIZ,186,5995B,VEJER DE LA FRONTERA,055754W
355344N,CEUTA,200,5000A,"CEUTA, MONTE HACHO",051732W
355319N,CEUTA,87,5000C,CEUTA,052049W
375056N,CORDOBA,90,5402,CÓRDOBA AEROPUERTO,045048W
373322N,CORDOBA,650,5427X,DOÑA MENCÍA,042114W
381959N,CORDOBA,750,5390Y,VILLANUEVA DE CÓRDOBA,043632W
373021N,GRANADA,785,5047E,BAZA,024406W
371123N,GRANADA,567,5530E,GRANADA AEROPUERTO,034722W
370814N,GRANADA,687,5514,GRANADA BASE AÉREA,033753W
375140N,GRANADA,1092,5051X,HUÉSCAR,023910W
370940N,GRANADA,760,5582A,LOJA,040910W
370553N,HUELVA,41,5860E,"MOGUER, EL ARENOSILLO",064417W
380123N,JAEN,202,5298X,ANDÚJAR,040350W
381853N,JAEN,580,5181D,ARROYO DEL OJANCO,025323W
375457N,JAEN,782,5038X,CAZORLA,030014W
374635N,JAEN,510,5270,"JAÉN, INSTITUTO",034720W
374639N,JAEN,580,5270B,JAÉN,034832W
382040N,JAEN,770,5246,SANTA ELENA,033207W
382921N,JAEN,862,5192,VILLARRODRIGO,023815W
375535N,SEVILLA,550,5704B,CAZALLA DE LA SIERRA,054611W
373058N,SEVILLA,130,5641X,ÉCIJA,050506W
371140N,SEVILLA,410,5612B,LA RODA DE ANDALUCÍA,044612W
370952N,SEVILLA,87,5796,MORÓN DE LA FRONTERA,053641W
372500N,SEVILLA,34,5783,SEVILLA AEROPUERTO,055245W
370829N,ALMERIA,869,6302A,ABLA,024647W
364450N,ALMERIA,8,6277B,ADRA,030114W
355618N,ALMERIA,15,6381,ALBORÁN,030210W
365047N,ALMERIA,21,6325O,ALMERÍA AEROPUERTO,022125W
364952N,ALMERIA,7,6297,ALMERÍA,022720W
365849N,ALMERIA,16,6332X,CARBONERAS,015413W
372326N,ALMERIA,300,6367B,HUÉRCAL-OVERA,015637W
364113N,ALMERIA,3,6293X,ROQUETAS DE MAR,024206W
360050N,CADIZ,32,6001,TARIFA,053556W
364322N,GRANADA,12,6268X,MOTRIL,033149W
370146N,MALAGA,408,6106X,ANTEQUERA,044454W
362501N,MALAGA,19,6058I,ESTEPONA,050918W
363230N,MALAGA,8,6084X,FUENGIROLA,043727W
363958N,MALAGA,5,6155A,MÁLAGA AEROPUERTO,042856W
364304N,MALAGA,54,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",042854W
364300N,MALAGA,25,6172O,"MÁLAGA, PUERTO",042511W
364459N,MALAGA,766,6032B,RONDA,051006W
364342N,MALAGA,3,6205X,TORROX,035728W
351635N,MELILLA,52,6000A,MELILLA,025723W
383231N,ALBACETE,646,7096B,HELLÍN,014211W
382359N,ALICANTE,575,7247X,PINOSO ,010217W
372502N,MURCIA,26,7002Y,ÁGUILAS,013513W
375728N,MURCIA,75,7228,"ALCANTARILLA, BASE AÉREA",011343W
380609N,MURCIA,643,7119B,CARAVACA DE LA CRUZ,015238W
373604N,MURCIA,17,7012C,CARTAGENA,005916W
381358N,MURCIA,265,7145D,CIEZA,012250W
373917N,MURCIA,312,7209,LORCA,014114W
380007N,MURCIA,61,7178I,MURCIA,011015W
374720N,MURCIA,4,7031,SAN JAVIER AEROPUERTO,004812W
374642N,MURCIA,4,7031X,SAN JAVIER AEROPUERTO,004821W
383606N,MURCIA,640,7275C,YECLA,010935W
385715N,ALBACETE,702,8175,ALBACETE BASE AÉREA,015123W
390020N,ALBACETE,676,8178D,ALBACETE,015144W
385609N,ALBACETE,880,8177A,CHINCHILLA,013936W
382221N,ALICANTE,81,8025,ALICANTE/ALACANT,002939W
381658N,ALICANTE,43,8019,ALICANTE-ELCHE AEROPUERTO,003415W
384701N,ALICANTE,15,8050X,JÁVEA/ XÀBIA,001004E
395726N,CASTELLON,43,8500A,CASTELLÓN - ALMASSORA,000419W
395858N,CASTELLON,23,8501,CASTELLÓN DE LA PLANA,000157W
402600N,CASTELLON,1131,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,001521W
403315N,CASTELLON,111,8523X,VINARÒS,002547E
400402N,CUENCA,948,8096,CUENCA,020755W
402102N,TERUEL,900,8368U,TERUEL,010727W
385544N,VALENCIA,5,8058X,OLIVA,000545W
391105N,VALENCIA,12,8325X,POLINYÀ DE XÚQUER,002219W
393432N,VALENCIA,758,8309X,UTIEL,011441W
392906N,VALENCIA,56,8414A,VALENCIA AEROPUERTO,002829W
392850N,VALENCIA,11,8416Y,"VALÈNCIA, VIVEROS",002159W
390006N,VALENCIA,88,8293X,XÀTIVA,003125W
425255N,ARABA/ALAVA,513,9091O,FORONDA-TXOKIZA,024406W
425059N,ARABA/ALAVA,521,9087,VITORIA AERÓDROMO,023922W
425219N,ARABA/ALAVA,513,9091R,VITORIA GASTEIZ AEROPUERTO,024358W
422516N,BURGOS,820,9111,BELORADO,031013W
425512N,BURGOS,580,9051,MEDINA DE POMAR,032858W
425931N,CANTABRIA,870,9001D,REINOSA,040938W
424823N,CANTABRIA,720,9019B,"VALDERREDIBLE, POLIENTES   ",035602W
402955N,CASTELLON,1220,9563X,CASTELLFORT,001112W
421957N,GIRONA,1703,9585,LA MOLINA,015622E
424232N,HUESCA,1040,9208E,ARAGÜÉS DEL PUERTO,004023W
423748N,HUESCA,992,9784P,BIELSA,001329E
420504N,HUESCA,546,9898,"HUESCA, AEROPUERTO",001932W
423444N,HUESCA,823,9201K,JACA,003249W
423736N,HUESCA,1020,9814A,TORLA,000642W
422708N,LA RIOJA,353,9170,"LOGROÑO, AEROPUERTO",021952W
422117N,LLEIDA,677,9619,LA SEU D'URGELL,012747E
413702N,LLEIDA,199,9771,"LLEIDA, OBSERVATORIO",003716E
413734N,LLEIDA,185,9771C,LLEIDA,003553E
424201N,LLEIDA,1161,9990X,"NAUT ARAN, ARTIES ",005237E
421219N,LLEIDA,807,9698U,TALARN,005155E
413902N,LLEIDA,388,9720X,TÀRREGA,010858E
424634N,NAVARRA,572,9263X,"ARANGUREN, ILUNDAIN  ",013157W
421155N,NAVARRA,295,9294E,"BARDENAS REALES, BASE AÉREA ",012831W
421225N,NAVARRA,268,9283X,CADREITA,014241W
424637N,NAVARRA,459,9263D,"PAMPLONA, AEROPUERTO",013900W
424904N,NAVARRA,450,9262,PAMPLONA,013818W
404913N,TARRAGONA,50,9981A,ESTACIÓN DE TORTOSA (ROQUETES),002936E
404157N,TARRAGONA,1,9987P,SANT JAUME D'ENVEJA,004836E
410329N,TERUEL,334,9573X,ALCAÑIZ,000830W
405154N,TERUEL,932,9381,"CALAMOCHA, AERÓDROMO",011818W
405534N,TERUEL,890,9381I,CALAMOCHA,011736W
405648N,TERUEL,466,9569A,CALANDA,001416W
413121N,ZARAGOZA,357,9576C,BUJARALOZ,001028W
411952N,ZARAGOZA,582,9394X,CALATAYUD,013843W
410652N,ZARAGOZA,779,9390,DAROCA,012436W
422927N,ZARAGOZA,626,9244X,SOS DEL REY CATÓLICO,011249W
413938N,ZARAGOZA,249,9434,"ZARAGOZA, AEROPUERTO",010015W
413715N,ZARAGOZA,254,9434P,"ZARAGOZA, VALDESPARTERA",005606W
394300N,ILLES BALEARS,57,B569X,CAPDEPERA,032841E
394924N,ILLES BALEARS,490,B013X,"ESCORCA, LLUC",025309E
385235N,ILLES BALEARS,6,B954,"IBIZA, AEROPUERTO",012304E
395117N,ILLES BALEARS,91,B893,"MENORCA, AEROPUERTO",041256E
393339N,ILLES BALEARS,8,B278,"PALMA DE MALLORCA, AEROPUERTO",024412E
393319N,ILLES BALEARS,3,B228,"PALMA, PUERTO",023731E
393118N,ILLES BALEARS,120,B346X,PORRERES,030109E
392454N,ILLES BALEARS,17,B434X,PORTOCOLOM  ,031616E
394457N,ILLES BALEARS,40,B691Y,SA POBLA,030100E
394406N,ILLES BALEARS,1030,B248,"SIERRA DE ALFABIA, BUNYOLA",024247E
282641N,LAS PALMAS,25,C249I,FUERTEVENTURA AEROPUERTO,135147W
275504N,LAS PALMAS,32,C649I,GRAN CANARIA AEROPUERTO,152343W
280003N,LAS PALMAS,10,C619I,LA ALDEA DE SAN NICOLÁS,154850W
285707N,LAS PALMAS,14,C029O,LANZAROTE AEROPUERTO,133601W
280647N,LAS PALMAS,15,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",152517W
280523N,LAS PALMAS,55,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",152458W
274409N,LAS PALMAS,6,C689E,MASPALOMAS,153545W
274859N,LAS PALMAS,10,C629X,"MOGÁN, PUERTO",154551W
280257N,LAS PALMAS,15,C229J,PÁJARA,142129W
291355N,LAS PALMAS,10,C839I,TEGUISE,133007W
281906N,STA. CRUZ DE TENERIFE,115,C439J,GÜÍMAR,162256W
274908N,STA. CRUZ DE TENERIFE,32,C929I,HIERRO AEROPUERTO,175320W
281832N,STA. CRUZ DE TENERIFE,2371,C430E,IZAÑA,162958W
283759N,STA. CRUZ DE TENERIFE,33,C139E,LA PALMA AEROPUERTO,174518W
282505N,STA. CRUZ DE TENERIFE,25,C459Z,PUERTO DE LA CRUZ,163253W
280523N,STA. CRUZ DE TENERIFE,15,C329Z,SAN SEBASTIÁN DE LA GOMERA,170641W
282748N,STA. CRUZ DE TENERIFE,35,C449C,STA.CRUZ DE TENERIFE,161519W
283545N,STA. CRUZ DE TENERIFE,62,C129Z,TAZACORTE,175455W
282839N,STA. CRUZ DE TENERIFE,632,C447A,TENERIFE NORTE AEROPUERTO,161946W
280249N,STA. CRUZ DE TENERIFE,64,C429I,TENERIFE SUR AEROPUERTO,163340W
